victor,season,victor_avg_score,victor_avg_assists,victor_avg_blocks,victor_avg_dreb,victor_avg_fgp,victor_avg_oreb,victor_avg_steals,victor_avg_fta,victor_avg_3fgp,victor_avg_to,victor_avg_opp_score,round,region_number,region_name,seed_t1,score_t1,name_t1,name_t2,score_t2,seed_t2,loser,upset,victor_seed,loser_seed,loser_avg_score,loser_avg_assists,loser_avg_blocks,loser_avg_dreb,loser_avg_fgp,loser_avg_oreb,loser_avg_steals,loser_avg_fta,loser_avg_3fgp,loser_avg_to,loser_avg_opp_score,season_avg_score,season_avg_assists,season_avg_blocks,season_avg_dreb,season_avg_fgp,season_avg_oreb,season_avg_steals,season_avg_fta,season_avg_3fgp,season_avg_to,season_avg_opp_score
Syracuse,2013,70.4,14.075,6.15,24.375,43.8075,14,9.05,21.075,33.3125,12.375,58.675,3,4,East,1,50,Indiana,Syracuse,61,4,Indiana,1,4,1,78.63888888888889,14.305555555555555,3.611111111111111,26.083333333333332,48.24722222222222,12.194444444444445,7.083333333333333,25.11111111111111,40.31666666666667,13.027777777777779,62.111111111111114,68.26247542831494,12.980678612939712,3.6466475968222607,23.929417503106237,43.910376188257146,10.966817630548936,6.625026861806242,20.112851536205472,34.3275939014173,12.96050588930835,65.43082486492693
Syracuse,2013,70.4,14.075,6.15,24.375,43.8075,14,9.05,21.075,33.3125,12.375,58.675,4,4,East,4,55,Syracuse,Marquette,39,3,Marquette,1,4,3,68.05714285714286,13.8,3.5142857142857142,23.485714285714284,45.80285714285714,11.942857142857143,6.542857142857143,21.571428571428573,30.937142857142856,13.457142857142857,62.6,68.26247542831494,12.980678612939712,3.6466475968222607,23.929417503106237,43.910376188257146,10.966817630548936,6.625026861806242,20.112851536205472,34.3275939014173,12.96050588930835,65.43082486492693
Wichita St,2013,69.74358974358974,13.58974358974359,4.538461538461538,25.256410256410255,44.225641025641025,13.128205128205128,7.410256410256411,20.28205128205128,33.774358974358975,12.615384615384615,61.15384615384615,2,2,West,1,70,Gonzaga,Wichita St,76,9,Gonzaga,1,9,1,77.02857142857142,15.142857142857142,2.742857142857143,25.742857142857144,49.55142857142857,11.685714285714285,7.914285714285715,22.2,36.73142857142857,11.228571428571428,59.857142857142854,68.26247542831494,12.980678612939712,3.6466475968222607,23.929417503106237,43.910376188257146,10.966817630548936,6.625026861806242,20.112851536205472,34.3275939014173,12.96050588930835,65.43082486492693
Marquette,2013,68.05714285714286,13.8,3.5142857142857142,23.485714285714284,45.80285714285714,11.942857142857143,6.542857142857143,21.571428571428573,30.937142857142856,13.457142857142857,62.6,3,4,East,2,61,Miami,Marquette,71,3,Miami,1,3,2,69.2,11.285714285714286,4.457142857142857,25.542857142857144,45.642857142857146,10.2,6.2,18.857142857142858,35.01714285714286,10.771428571428572,60.114285714285714,68.26247542831494,12.980678612939712,3.6466475968222607,23.929417503106237,43.910376188257146,10.966817630548936,6.625026861806242,20.112851536205472,34.3275939014173,12.96050588930835,65.43082486492693
Oregon,2013,71.62162162162163,13.08108108108108,3.945945945945946,25.35135135135135,44.85405405405405,12.18918918918919,8.486486486486486,21.864864864864863,34.05945945945946,15,63.567567567567565,1,1,Midwest,5,55,Oklahoma St,Oregon,68,12,Oklahoma St,1,12,5,71.84848484848484,12.06060606060606,4.696969696969697,25.545454545454547,44.24242424242424,10.727272727272727,7.515151515151516,22.757575757575758,31.490909090909092,12.454545454545455,63,68.26247542831494,12.980678612939712,3.6466475968222607,23.929417503106237,43.910376188257146,10.966817630548936,6.625026861806242,20.112851536205472,34.3275939014173,12.96050588930835,65.43082486492693
La Salle,2013,72.05882352941177,14.147058823529411,3.5,21.470588235294116,45.491176470588236,9.764705882352942,7.735294117647059,17.794117647058822,36.65,11.470588235294118,66.38235294117646,1,2,West,4,61,Kansas St,La Salle,63,13,Kansas St,1,13,4,68.97142857142858,15.914285714285715,3.6857142857142855,21.857142857142858,43.68857142857143,13.428571428571429,7.057142857142857,18.02857142857143,35.56,11.514285714285714,60.42857142857143,68.26247542831494,12.980678612939712,3.6466475968222607,23.929417503106237,43.910376188257146,10.966817630548936,6.625026861806242,20.112851536205472,34.3275939014173,12.96050588930835,65.43082486492693
La Salle,2013,72.05882352941177,14.147058823529411,3.5,21.470588235294116,45.491176470588236,9.764705882352942,7.735294117647059,17.794117647058822,36.65,11.470588235294118,66.38235294117646,2,2,West,13,76,La Salle,Ole Miss,74,12,Ole Miss,1,13,12,77.51428571428572,12.542857142857143,5.114285714285714,25.62857142857143,44.02285714285714,13.314285714285715,8.228571428571428,24.4,32.74285714285714,11.285714285714286,67.02857142857142,68.26247542831494,12.980678612939712,3.6466475968222607,23.929417503106237,43.910376188257146,10.966817630548936,6.625026861806242,20.112851536205472,34.3275939014173,12.96050588930835,65.43082486492693
Ole Miss,2013,77.51428571428572,12.542857142857143,5.114285714285714,25.62857142857143,44.02285714285714,13.314285714285715,8.228571428571428,24.4,32.74285714285714,11.285714285714286,67.02857142857142,1,2,West,5,46,Wisconsin,Ole Miss,57,12,Wisconsin,1,12,5,65.61764705882354,13.352941176470589,4.411764705882353,25.235294117647058,42.0735294117647,11.794117647058824,5.764705882352941,16.88235294117647,33.55,9.823529411764707,56.11764705882353,68.26247542831494,12.980678612939712,3.6466475968222607,23.929417503106237,43.910376188257146,10.966817630548936,6.625026861806242,20.112851536205472,34.3275939014173,12.96050588930835,65.43082486492693
Minnesota,2013,68.73529411764706,14.794117647058824,5.5,23.735294117647058,44.17941176470588,14.735294117647058,7.4411764705882355,22.470588235294116,33.758823529411764,13.735294117647058,62.205882352941174,1,3,South,6,63,UCLA,Minnesota,83,11,UCLA,1,11,6,74.4,15.971428571428572,3.6285714285714286,25.4,45.30285714285714,11.057142857142857,8.085714285714285,20.17142857142857,33.808571428571426,11.17142857142857,69.34285714285714,68.26247542831494,12.980678612939712,3.6466475968222607,23.929417503106237,43.910376188257146,10.966817630548936,6.625026861806242,20.112851536205472,34.3275939014173,12.96050588930835,65.43082486492693
Temple,2013,72.23529411764706,14.617647058823529,3.7058823529411766,22.970588235294116,43.10294117647059,11.205882352941176,7.852941176470588,20.794117647058822,32.89705882352941,10.764705882352942,67.91176470588235,1,4,East,8,72,NC State,Temple,76,9,NC State,1,9,8,77.37142857142857,14.6,4.2,25.428571428571427,49.66571428571429,11.314285714285715,6.485714285714286,23.228571428571428,38.917142857142856,12.371428571428572,70.22857142857143,68.26247542831494,12.980678612939712,3.6466475968222607,23.929417503106237,43.910376188257146,10.966817630548936,6.625026861806242,20.112851536205472,34.3275939014173,12.96050588930835,65.43082486492693
